,ID,Text,Star,Thumbs Up,sentiment
4046,229696,"Always shows updated... Update. ..... How many times we will update in a week. Even if we press update it's not updated immediately....it will take more time...,......,........................",1,0,Positive
4060,229710,Excellent,1,0,Positive
4072,229721,I don't like the new tabs I liked the way it was before. Google is always fixing things that aren't broken just learn too leave well enough alone.,1,0,Positive
4073,229722,I am not updating any more because the update were not installing on my mobile.,1,0,Positive
4082,229732,"hangs too much , will crash often and wont update even if the update is available",2,0,Positive
4092,229742,"Pls make it full available in full dark mode, and sometimes it doesn't work and lags moreover when after updating the app, it becomes highly unstable for few hrs which is extremely aggravating. Pls fix it",1,0,Positive
4093,229743,Awesome,1,0,Positive
4099,229749,keeps crashing today wack another full day of crashing,1,0,Positive
4130,236569,Brand new phone. Chrome is refusing to update .,1,0,Positive
4138,236577,Chrome not updating since many months,1,0,Positive
4140,236579,Forcibly installed without wish..,1,0,Positive
4156,236595,Too much ad,1,0,Positive
4174,236613,Good,1,0,Positive
4178,236617,Good luck with,1,0,Positive
4192,236631,1 questions_Updating problem pls remove Answer+ removed thanks Google,1,0,Positive
4199,236638,BEWARE: THIS IS A HUGE SELLOUT 4 EVERYONE W/ATT/CNN/MSNBC/ MICROSOFT/CCP/DEMO-RATS/STUPID OLD RHINOS & MUCH MORE SINCE THEY'RE PUSH THE AD'S THAT I'VE EVER SEEN IN MY LIFE FROM THE START OF THE FIRST 💯% PUSHIN THEY'RE NARRATIVES CNN BS DOWN OUR THROATS & AD'S THAT I'VE EVER SEEN N MY LIFE FROM FIRST CELL PHONE COMPANY 2 THESE SELLOUTS OF ATT THAN I'VE NEVER HAD THIS PROBLEM W/EITHER ONE OF THEIR MUCH BETTER COMPETITION OF VERIZON OR SPRINT MOBILE! STOP SELLIN US OUT ASAP ATT I'LL GO! #WWG1WGA,1,0,Positive
4238,255727,Not been able to update..,1,0,Positive
4246,255735,This update for Google Chrome doesn't work. How can we clear this supposed update from the cell phone?,1,1,Positive
4270,255759,Not that appealing,2,0,Positive
4273,255762,"Fast & Secure & Ureliable After another update it wiped all its data. History, bookmarks settings - gone. Unrecoverable. Yeah, FU too.",1,0,Positive
4278,255767,It's good but can't stand that this won't update 😒,2,0,Positive
4297,255786,New layout is not convenient at all. Previous version was much better.,2,0,Positive
4303,255792,Good,2,0,Positive
4306,255795,Why I couldn't able to update new version of chrome in android 10,2,1,Positive
4311,255800,"Like a lot of others the latest update is shockingly bad. When I click on the webpage number instead of seeing old browser pages cascaded on top of one another I now get a list which is indistinguishable from the browser history view. This is dull, unimaginative and decidedly unhelpful. Time for something new perhaps where the UI and UX are given priority rather than treated as an after thought.",2,3,Positive
4334,269404,"Still regressing. The discovery articles are trash, again. Still can't swipe away, now get suggestions that sometimes a year old, and now there's not even a more option at the bottom or anyway to refresh them. Thanks dumbasses",1,1,Positive
4350,269420,Works great. it unfair that you block websites n take freedom of choice from Australians,2,0,Positive
4355,269425,Its crashing very frequently,1,0,Positive
4365,269435,The new button layout is very unproductive,1,0,Positive
4370,269440,The App very good,1,0,Positive
4405,269476,I cannot get the new Update to even Update !,1,0,Positive
4408,269479,Don't like the new update,1,0,Positive
4422,278881,good app,1,0,Positive
4423,278882,I can't update it other wise 5 star specific this problem occurs for only this device,1,0,Positive
4440,278900,"Hi, I am having a problem with latest update. I can't upload files on my samsung tab s6 lite. Every time I am trying to open a file browser for upload it closes. I tried to do it with opera and Firefox and it works with them perfectly.",1,0,Positive
4484,278944,Literally unusable. I got to bed to wake up to 40 tabs opened about virus alerts and malware attacks. Who has other good browser recommends.,1,0,Positive
4500,278960,Good,2,0,Positive
4502,278962,Nice app,2,0,Positive
4507,278967,Won't update on my new oppo a93,1,0,Positive
4518,303317,Will not update after hitting the button many times,1,0,Positive
4519,303318,"I can't access to downloaded files. Actually there are 2 download locations : emulated and internal, and Chrome set the first as default. No SD card inserted.",1,0,Positive
4521,303320,Why Google chrome is not update... I try too many time's but always no response from the google chrome,1,0,Positive
4535,303334,don't like a new update at alllllll please change it back to old one,1,0,Positive
4554,303353,doesnt update the latest version,1,0,Positive
4559,303358,Nice app,2,0,Positive
4588,303388,Nice,2,0,Positive
4663,312953,😄😃☺😉😁😌 Good Luck To U 🎄,1,0,Positive
4667,312957,I can't use new update chrome and android system webview,1,0,Positive
4705,312995,Taking Huge space,1,0,Positive
4737,325678,"Please give me an option to remove the tab groups and go back to previous UX with one list. You just made my life way much more complex, i cannot find the tabs i need...",1,0,Positive
4738,325679,4th Feb update 😖☠ i liked that grouping tab and all. If there are some changes there should be a way to enable disable features☠,1,0,Positive
4744,325685,"Why the phuck can I not go to bookmarks anymore, this app is becoming a laughing stock",1,0,Positive
4759,325700,was working but crashed after new update,1,0,Positive
4776,325717,So many bugs no matter which phone I use,1,0,Positive
4778,325719,Free mb,1,0,Positive
4803,325744,"Does not update, automatically or manually. I've tried every which way to do this. Also noticed that lately, the browser is slow, and many images don't appear! Perhaps the update would fix this...except well, itv went update!",1,0,Positive
4808,325749,Best,1,0,Positive
4835,341745,Why show adults pictures this aap I wana search somting and show adults pictures don't show me against I wana post social media.,1,0,Positive
4867,341777,"I am happy with the simplicity of this app, but it trakes and keeps all user's data. And now, I don't know why but I am unable to update the app using Google Play Store. Please try fixing this bug as earliest of possible and let user have some privacy and don't play with users' centiments.",1,0,Positive
4882,341792,Heh ojjghk . G g cukura diabēta pacientu skaits ir pieaudzis you more CHHHHV) L,2,0,Positive
4885,341794,"Does not update, Galaxy S20 FE. It would be nice if the update was properly tested before it is placed for users to use. Otherwise, I started to think that we get one more mICROSOFT instead of Google",1,0,Positive
4886,341795,"Stop auto refreshing all tabs I lost my all data. In conditions like forgot otp, Google forms, other forms which need more information to fill in it. All going to erase & the page is refreshed. Stop refreshing facility please.",1,0,Positive
4887,341796,Please go back to having 8 icon tabs of quick access instead of 6 on a blank page. Please also go back to allowing me to load/ get more discovery articles. The discovery articles need to go back to small fonts and smaller pictures so I can preview 5-6 articles at a time instead of 2-4 right now.,2,0,Positive
4909,341820,This page uses too much memory so chrome removed some content Annoying more than useful ease fix it,1,0,Positive
4916,348927,"Dark mode isn't working anymore on any page except the home page, and Chrome Canary is no longer working in dark mode either. Light mode is way too bright, and as someone with autism, it's causing so much sensory overload trying to make simple google searches that I'm thinking of finding a different browser. This is a very sudden issue and I can't find any help for it.",1,0,Positive
4929,348940,Very nice,2,0,Positive
4942,348953,It's complicated...on purpose I'm sure ....a little awareness as to where we ought to be setting our phones would be very much appreciated?!,1,0,Positive
4944,348955,Ok,2,0,Positive
4963,348974,I am trying to update the app but it does not let me to download and app is not really working most of the time,1,0,Positive
4965,348976,Very good,2,0,Positive
4975,348986,Not bad,2,0,Positive
4988,348999,Nice but don't work properly sometimes,2,0,Positive
4997,349008,Ok,1,0,Positive
5007,349018,Ok no problem,2,0,Positive
5040,369119,"Rubbish... Don't bother.... won't install the update...not worth the hassle of clearing cache, switching off phone or dancing naked round a chocolate toffee in the pouring rain....JUST FIX THE UPDATE SO YOU DON'T HAVE TO KEEP MESSING AROUND....",1,0,Positive
5068,369147,Nothing better.,1,0,Positive
5074,369153,not so good.,2,0,Positive
5088,369167,"The new tab system is very troublesome, can I make it back to normal?",1,0,Positive
5106,369185,Good,2,0,Positive
5111,390934,"I want to update this app but that's didn't happen, I have infinix hot 9 pro mobile, please how to update this app, tell me",1,0,Positive
5128,390951,Good,1,0,Positive
5150,390973,Wont even start to do an update even when it says it needs to. This is bs and not looking good for this company,1,0,Positive
5159,390982,Try to update this aap but not getting success for update this app. Since last 20 days I try to update but this app was not updated. 🤬🤬🤬,1,0,Positive
5170,390993,Super,1,0,Positive
5205,391029,Experience is updated so many times,2,0,Positive
5206,391030,1/4 star still to much !#%@&!!,1,0,Positive
5235,392758,i can't update chrome why? how many time i tried its just remain same and can't update it,2,0,Positive
5274,392798,New update is super annoying with recent tabs. Please give an option for both. A tab within a tab? Tabception. Uninstalling and getting the old version. This is garbage and not user friendly in the least bit. Amazing that a multi billion dollar company put this out,1,0,Positive
5275,392799,Nice,1,0,Positive
5292,392816,Releasing date update show date is different (ex - 4 February release but play store show 10 February ) very 😠😡😡,1,0,Positive
5399,419482,I am unable to update the chrome kindly look into it and help me sorting out this,1,0,Positive
5431,429706,"1. New tabs are afwul. 2. Can't make long screenshots with my Samsung phone anymore, only in Chrome.",1,1,Positive
5458,429734,Drains to much battery.,1,0,Positive
5459,429735,This app not updating on my phone. So tell me that how I am updating this app .. Thanks,1,0,Positive
5465,429741,Ok,1,0,Positive
5472,429748,Thise app good and i love it but i gave 1star because when i download any movie it take many time.,1,0,Positive
5474,429750,I give only single star because since last 2 month when I want to update my crome for new features.. So it didn't work. And when I use any thing then it responding as reboot So plz solve my prblms,1,0,Positive
5521,444259,"Nobody asked for tab groups and now that we have it nobody wants them. They don't do whatever it is the designer thought they would do, and they take up screen space while scrolling up on sites. Stop it. Get rid of them. While you're at for the love of God kill AMP.",1,0,Positive
5536,444274,Takes 5 ever but it's having help right L S,1,0,Positive
5537,444275,"New update, but won't let me update",1,0,Positive
5541,444279,Good,2,0,Positive
5554,444291,There are many glitches and it is not updating fix these glitches please,1,1,Positive
5566,444303,Super,1,0,Positive
5571,444308,Ok,1,0,Positive
5583,444320,Why I can't update? I have tried the link given but the result still the same. Is it okay for me NOT to update? Will it effect the Chrome performance?,1,0,Positive
5584,444321,Group tabs look and work poorly compared to the old way. Huge UI downgrade,2,0,Positive
5591,444328,So many sites get error,1,0,Positive
5598,444335,good,1,0,Positive
5606,444344,Always freezes and I don't support those who need with free speech,1,0,Positive
5619,462142,Nice app for us guys 2,1,0,Positive
5647,462170,It's most wonderfull,1,0,Positive
5663,462186,I might have given it a higher rating but it won't install so for now I will live with the update needed notification,1,0,Positive
5669,462192,Very useful for me keep using guys good app !!!,1,0,Positive
5672,462195,This is one of the disguisting app that contains too many ads every time. One who wants to search something is always disturbed by nonsense google ads.,2,0,Positive
5690,462213,"I think here i c many ppl with same problem like mine....app isn't at all updating though u have good net connection while all other apps can update..along with android web viewer, this app doesnt update",2,0,Positive
5713,476317,Updated version is really terrible....😵😵😷😷,1,0,Positive
5718,476322,I can not update my chrome app. I try many times ...... Please solve my problem.,2,0,Positive
5723,476345,Better,1,0,Positive
5724,476327,It is very nice application the application developer unless you delete them,1,0,Positive
5728,476331,"This was good but the newest update makes way harder to navigate. By like why did you remove the ""open in new tab"" it was so useful and now these groups make it harder to browse.",1,0,Positive
5732,476335,I am very upset from this app because I can't update this app after showing update notification.😞,2,0,Positive
5752,476356,"New update is garbage, completely ruined the Tabs system for no reason. Who asked for this???",1,0,Positive
5756,476360,Thanks Best Western Union Bank LTD for you and broth and Jell-O salad for lunch tomorrow,1,0,Positive
5760,476364,The mandatory new grouping is not comfortable.. should have left newtab option with multiple windows.. pls let me know how to revert back to old version,1,0,Positive
5767,476371,Good,1,0,Positive
5770,476374,"I don't like how the tab screen is organized with the new update. I don't like how it's a double column compared to the previous one column and when I rotate the screen to see if it does go back to one, I come across having three columns. I don't like that it forces you to make a new tab that you open into a group that in order to get rid of you have to go to the tab screen and manually do it yourself. When you do undo it, you loose the new tab in all your other tabs.",1,34,Positive
5772,476376,Ok,1,0,Positive
5799,476404,"When playing games 3hours my phone not get heated but using Chrome for using 30minutes its heat up my phone fastly, drain battery fastly",1,0,Positive
5807,476412,Card view was much better! I definitely need it to be returned,1,0,Positive
5851,482344,"I'm still trying to understand why you add new features to the apps, changing what users are used to, and we like. Now tabs are displayed in groups. If you were smarter, you should've known that it should've been added as ""an option"", never as the ""only"" option. It seems to me that you don't really know what users want. Don't make ""changes"" by eliminating previous features, just ""add"" new features as new options for users. It can be a great new option, but keep the old option as well.",2,2,Positive
5860,482353,cannot update new version,1,1,Positive
5870,482363,I can't able to update my Google chrome please I need help asap,1,0,Positive
5871,482364,Very good,1,0,Positive
5881,482374,You sent me a corrupt email by linking it to my new third phone and I lost my internet. Can't make calls. It's dropping calls more now so I know I am about to loss another phone. I have repeatedly asked you for help. Erasing my email won't fix it either. Because I have tried. I have bought three phones only to have you send me link to to a hacker. Plus they got into my bank. Thanks.,1,0,Positive
5912,504385,"I am having problems with the app not loading website and I am getting messages that, Chrome has crashed. I have never had a problem with Chrome before. I will change the star reviews onelce the problem gets fixed",1,0,Positive
5918,504391,Because of new update,1,0,Positive
5944,504417,Good,1,0,Positive
5952,504425,"As of February 21st, 2021, the update that was pushed out is quite garbage and only convolutes the current Tab process in place. I believe I understand the intent as being able to group multiple tabs can prove to be useful, but the execution is all wrong. The previous version of being able to swipe through tabs was much more efficient. Next time please stick to bug fixes and not things that did not need any changes.",2,0,Positive
5954,504427,please fix the tabs. I hate the new tabs. Better give back the old tabs:),1,0,Positive
5972,504445,NiCe,2,0,Positive
5978,504451,Changing the tabs view to tiles without the option to change it back to layering really rather ruined this for me. I liked being able to easily scroll down to the tab I wanted without everything being in view. The tiles just suck.,2,0,Positive
5987,504460,Previous version was much better,1,0,Positive
5993,504466,"it's not updating, fix the issue, when I have going to start a new tab it has automatically closed",1,0,Positive
5996,504469,"First time ever I have to change the browser from the Chrome on mobile device. The tabs, suggestions.... did this even went through quality control?",1,0,Positive
5999,504472,Absolute balls,2,0,Positive
6001,504474,"Google, stop making useless changes! The tab page has been significantly downgraded and is no longer friendly to use",1,0,Positive
6003,504476,Very bed,1,0,Positive
6017,510964,The most recent android update broke google chrome like biscotti. It crashes on launch. I had to roll back to an earlier version. Come on.,1,0,Positive
6022,510968,"It's started asking me if I want to open links in chrome or apps I don't own when clicking on links. There is no selection to remember my choice and is just an annoying pop-up that gets through the pop-up blocker. Taking off another star. When long pressing things you can no longer open in another tab, only a tab group when requires more clicks to navigate to than before.",1,3,Positive
6023,510969,Thanks to forced update chrome now sucks. Good job you greedy bastards,1,0,Positive
6026,510972,"I'm unable to get it to update on or off wifi for months on my new, fully activated an LG Velvet! All I get is a rotating, pending updates circle wheel each time I have tried! It says pending up top and has a grayed out open button that read update prior to tapping it. (I am using my phone in Dark Mode when and where it can apply it). The button was next to a still pressable cancel button! I get infinite loop tapping the red update line in the righthand browser menu in Chrome or via store! Help!",1,0,Positive
6054,511002,It uses so much of my battery in the background even though I've turned it off. I've tried everything and it's still sucking the battery life,1,0,Positive
6055,511003,Not able to update every thing is ok with my phone ..... All other apps are updated but not this one,2,0,Positive
6068,511016,It's not updating on my new phone,1,0,Positive
6083,511031,Group tabs are so confusing! Old tabs were better.,2,0,Positive
6100,511048,It always crashes wish the app would get it together. Crome was the best but now it sucks. Please work on the issues that your app is having or I will b forced 2 find a new browser. And I mean quickly. Wonder what is really up with this app U guys have had more time to get the app fixed. Come on Google really. Its not even worth 1 star but As always thats the only way you can even leave a review which should not even b allowed. Way 2 go google.,1,0,Positive
6102,511050,Not able to update google chrome since i purchased One plus nord. On click on update button nothing happens on play store. Just loader icon run for 1-2 second and stop..not able to update. So forcefully you need to use older version. Also whenever i try to search anything it shows blank screen all the time. You need to hit url or search text again to load the results.,2,0,Positive
6122,527938,good,1,0,Positive
6130,527946,I have looked out on my phone as a security I came with the phone and it came up and gave me a red flag saying that Chrome is a vulnerability fix immediately it's the only one that said that about so I'm deleting my Chrome I'm using brave now,1,0,Positive
6148,527965,Man o man am I ever glad I didn't update this app . After reading the reviews I have realized it would not be a good idea to update it. So for now I'm going to stick with the previous version. One would assume that the smart people at Google would do a bit more research before fixing something that isn't broke. For the most part Google has been pretty good for me so I hope the next update will be a little more thought out and have a lot more positive reviews because this one had practically none,1,0,Positive
6159,527976,Very nice 👌👌😊👌👌👌👌👌👌👌👌👌👌👌👌 you have you,1,0,Positive
6166,527983,Still not very reliable.Unresponsive very often.,2,0,Positive
6169,527986,"I don't know why there is a need to update a thing that's worling totally fine. I am on a tablet and the chrome works really bad after the update. I got a tip for those who *accidently* updated chrome. Uninstall it and then don't update again And for the people with pc browser, use Brave browser, it is really nice working browser better than chrome nowadays. (No promo) And this is for the devs,🖕",1,0,Positive
6175,527992,Every time use full,2,0,Positive
6176,527993,"Not a fan of the new version of tabs. The grid layout makes it more confusing to sort through, I much prefer the old stacked style where my focus was on each tab. Also, what is ""open in new tab in group""? Why are there ""groups"" in tabs? Why can't it be a simple ""open in new tab"" as usual? Overall it's very confusing, please fix it.",2,0,Positive
6183,528001,Whoever approved the new UI changes definitely forgot to check UX. 0 rating on the New UX.,1,0,Positive
6191,528009,Google is always safe,1,0,Positive
6225,548502,"Buggy as of Feb 2021. Many sites don't work or the app freezes. Took away desktop mode before you ask for a web page when adding a new tab so sites send you to Google play store and they don't give you a chance to use them in desktop mode, New bugs especially in page organizing functions. If they fix all the recent bugs created in the past 2 months & had the ability to save websites to view later or open in the background like Firefox it would get 5 stars",1,1,Positive
6231,548508,"Grouped tabs on a phone, I love having to squint to see what used to be easy to flip between. And no way to turn it off.",1,0,Positive
6267,548544,Hot,1,0,Positive
6289,548566,Good,2,0,Positive
6306,556583,Very baad,1,0,Positive
6309,556586,It keeps telling me I have an update but will not update no matter how many times I try and it is messing with my phone. Please fix this.,1,0,Positive
6312,556589,Will not load a single web page. I even uninstalled the latest update and it STILL isn't loading anything.,1,0,Positive
6313,556590,Absolutely nothing loads. I lost everything I was searching for and had saved. It force quits whenever I open it. I tried uninstalling the update and restarting and it's still garbage.,1,0,Positive
6341,556618,"Why is this app not updating and due to lack of updates, I am unable to use it in a good way, so I am still unsatisfied ..",1,0,Positive
6360,556637,Good,2,0,Positive
6370,556647,Always frozen... I've clear app cache and data about 20 times but search something in the address bar it is still frozen...,1,13,Positive
6372,556649,New update introduces the tab grouping. This is a good idea that could not possibly have been executed in a more frustrating fashion. You have to go through the chrome://flags/#enable-tab-grid-layout to edit the setting even to fix this broken mess of a feature rollout. Looking for a different browser. Incredible.,1,1,Positive
6399,556676,World most wrost browser,1,0,Positive
6402,556679,Good,2,0,Positive
6413,569865,Cant update to new version 😔,1,0,Positive
6416,569869,Im very upset with the Salt lake city postal service witch ever one tends 2830 west 700south salt lake city 84111 i had bought a money order at 711 and sent it to Mesa county Treasurer .340.00 they never got it this ws back in 03/02/2020,1,0,Positive
6459,569912,After new update. Chrome become alot slower.,1,0,Positive
6460,569913,Went from amazing to garbage. After the last update it will no longer refresh or load any relevant news. Just a few repetitive junk news articles. Please fix this garbage update.,1,0,Positive
6462,569915,Best update,2,0,Positive
6474,569927,Has been absolutely great untill the last few days when nothing at all loads. Just a blank screen no matter what I do or what I search,2,0,Positive
6476,569929,Nice,2,0,Positive
6478,569931,"I have gotten SO many viruses from chrome and Google play as well as Google play services that I'm really fed up with it. No matter what I do, it's something going wrong and I send feedback that seems to get ignored. I'm frankly getting tired of it. It's impeding my ability to focus on finding a job because my files keep disappearing. I don't even feel safe using my credit or debit cards online anymore.",2,0,Positive
6482,569935,Nice app,1,0,Positive
6501,569954,Nice,2,0,Positive
6507,588819,I couldn't able to update my chrome from past 1 year.. please help,1,0,Positive
6510,588822,Can't even update it what a lol kind of app!!,1,0,Positive
6527,588839,Cant believe that I cannot change the way for creating a new tab. I want to use the old version because it is easy to open website in a new tab than this current version. poor App and now I cant stand anymore. Bye google chrome.,1,0,Positive
6546,588858,Very bed,1,0,Positive
6553,588866,My chrome is not getting updated. When I try to update it is cancel automatically. Hope this will get fixed for me.,1,0,Positive
6579,588892,Wont even install. Has been trying to install for days and continuously freezes. Pretty dissapointing.,1,0,Positive
6607,611788,Ever since last update its crashing often.. and page loading takes more time.,1,0,Positive
6618,611799,Super app,2,0,Positive
6623,611804,Very sloww,2,0,Positive
6626,611807,"The app is really reliable and cool but l did 3 stars beacuse when change to another app and come back it loads again can you fix that and sometimes the websites l choose when l open them again they have an error because of the app and when l disable it l have to update it again so that it is more efficient when I already have done that,and another thing please display new bookmarks when chosen beacuse poeple do not want to have to look for them and also it is slow when you make an offline page",2,0,Positive
6649,611830,Google chrome sucks. Not user friendly. COPY CUT SELLECT ALL MENU DOES NOT ALLOW BROWSER NAVIGATION... IN THE WAY..,1,0,Positive
6657,611838,Why I can't install the latest version of Chrome..... it's showing here to update but not starting 😭,1,0,Positive
6669,611850,No vry nice 🙄,1,0,Positive
6670,611851,"Freezes, much slower. Same websites using Mozilla, no problems.",2,0,Positive
6676,611857,To many posted,1,0,Positive
6678,611859,Ok,1,0,Positive
6679,611860,"It was fine until the last update, it takes forever to load",1,0,Positive
6696,611877,Awesome,1,0,Positive
6713,620091,Not getting updated though its showing as new update is available,1,0,Positive
6718,620098,First of all i am not able to update chrome so i cannot tell how is it But if i am able to update it then i will give ankther rewiew maybe,2,0,Positive
6738,620117,Chrome has best experience but now with new updates chrome can't access ftp site genereated by any third party app but previous versions it had support for ftp site and it's worked fine. And this is going to more bad experience ... Now sometimes it says u r offline while having good connection and many other sites can't be reached.... Try to make it better,2,0,Positive
6744,620123,Good,2,0,Positive
6760,620140,Not satisfied comprismed accts&emails without my consent dont feel safe reported many times. Alledgely,1,0,Positive
6763,620143,Good but very slow,2,0,Positive
6777,620158,Nice,1,0,Positive
6801,620182,latest update is simply sick!(ー_ー),1,0,Positive
6809,642243,It worked great but for some reason there are days it completely crashes and I can't use it! So i have to use other browser apps that don't have any of my bookmarks and tabs that were opened when chrome was working!,1,5,Positive
6810,642244,"I can't update the app , I click on update button then pending and loading sign appears then it automatically cancelled the update. Kindly resolve this problem.",1,0,Positive
6813,642247,this app is very good for me before but since they upadted i cannot use this up to go live streaming on youtube so i rate now poor,1,0,Positive
6834,642268,My main browser on my phone and tablet but for a company of their size how can their own programs not able to update on their own OS system just read the many comments by other users of late not being able to update the software come on sort it out!!!,1,0,Positive
6839,642273,Nice,1,0,Positive
6849,642282,Better,2,0,Positive
6854,642287,Cannot even update it and my phone is saying the older version it is a threat.,1,0,Positive
6891,642325,Right Now It's A not usable App,1,0,Positive
6910,656037,I am not able to update this app and it always having problems while using this app...how you get the 4.5 ⭐ I seen in comment section most of the people giving you negetive marking,1,0,Positive
6944,656072,Good,2,0,Positive
6946,656074,I very saldem us it,2,0,Positive
6952,656080,The app was working great until this recent update. It gets crashing nd the screen stops working in between while using this app. Google should look into it and resolve this ASAP. Not expected this kind of update from Google,1,0,Positive
6993,656122,Since the new update it wont do ANYTHING. Wont even show the screen.,1,0,Positive
7029,659643,"Decent browser but sold out to politics. They filter your searches blocking results that are concervative. Aside from being sellouts to political propoganda, not bad",2,0,Positive
7031,659645,Can't able to update the chrome app in my Realme X mobile phone.,1,0,Positive
7041,659655,Good,1,0,Positive
7042,659656,Good app,1,0,Positive
7047,659661,Its good,1,0,Positive
7195,684983,"Chrome is good, I trust this update will make it better.",1,0,Positive
7203,684991,After update it lag and always slow same goes to googleee ;)))))) !!!! I want to do my work but 🌚,1,0,Positive
